XFN,TSX,XFN
AGF.B,TSX,AGF MANAGEMENT LTD-CL B
BMO,TSX,BANK OF MONTREAL
BNS,TSX,BANK OF NOVA SCOTIA
CIX,TSX,CI Financial Corp
CM,TSX,CAN IMPERIAL BK OF COMMERCE
CWB,TSX,CANADIAN WESTERN BANK
DC.A,TSX,DUNDEE CORP -CL A
DHFu,TSX,DAVIS + HENDERSON INCOME FND
FFH,TSX,FAIRFAX FINANCIAL HLDGS LTD
GMP,TSX,GMP CAPITAL INC
GWO,TSX,GREAT-WEST LIFECO INC
HCG,TSX,HOME CAPITAL GROUP INC
IAG,TSX,INDUSTRIAL ALLIANCE INSURANC
IFC,TSX,Intact Financial Corp
IGM,TSX,IGM FINANCIAL INC
LB,TSX,LAURENTIAN BANK OF CANADA
MFC,TSX,MANULIFE FINANCIAL CORP
NA,TSX,NATIONAL BANK OF CANADA
OCX,TSX,ONEX CORPORATION
POW,TSX,POWER CORP OF CANADA
PWF,TSX,POWER FINANCIAL CORP
RY,TSX,ROYAL BANK OF CANADA
SLF,TSX,SUN LIFE FINANCIAL INC
TD,TSX,TORONTO-DOMINION BANK
X,TSX,TMX GROUP INC
