XMA,TSX,XMA
ABX,TSX,BARRICK GOLD CORP
AEM,TSX,AGNICO-EAGLE MINES
AGI,TSX,ALAMOS GOLD INC
AGU,TSX,AGRIUM INC
ARZ,TSX,AURIZON MINES LTD
CCL.B,TSX,CCL INDUSTRIES INC - CL B
CFP,TSX,CANFOR CORPORATION
CG,TSX,CENTERRA GOLD INC
CLM,TSX,CONSOLIDATED THOMPSON IRON M
DGC,TSX,DETOUR GOLD CORP
EGU,TSX,EUROPEAN GOLDFIELDS LIMITED
ELD,TSX,ELDORADO GOLD CORPORATION
ELR,TSX,EASTERN PLATINUM LTD
EQN,TSX,EQUINOX MINERALS LTD
FM,TSX,FIRST QUANTUM MINERALS LTD
FNV,TSX,FRANCO-NEVADA CORP
FNX,TSX,FNX MINING CO INC
G,TSX,GOLDCORP INC
GAM,TSX,GAMMON GOLD INC
GBG,TSX,GREAT BASIN GOLD LTD
GBU,TSX,GABRIEL RESOURCES LIMITED
GNA,TSX,GERDAU AMERISTEEL CORP
GSC,TSX,GOLDEN STAR RESOURCES LTD
HBM,TSX,HUDBAY MINERALS INC
IMG,TSX,IAMGOLD CORP
IMN,TSX,INMET MINING CORPORATION
IVN,TSX,IVANHOE MINES LTD
JAG,TSX,JAGUAR MINING INC
K,TSX,KINROSS GOLD CORP
LIFu,TSX,LABRADOR IRON ORE ROYALTY TR
LSG,TSX,LAKE SHORE GOLD CORP
LUN,TSX,LUNDIN MINING CORP
MDI,TSX,MAJOR DRILLING GROUP INTL
MFL,TSX,MINEFINDERS CORP
MX,TSX,METHANEX CORP
NG,TSX,NOVAGOLD RESOURCES INC
NGD,TSX,NEW GOLD INC
NGX,TSX,NORTHGATE MINERALS CORP
OSK,TSX,OSISKO MINING CORP
PAA,TSX,PAN AMERICAN SILVER CORP
POT,TSX,POTASH CORP OF SASKATCHEWAN
QUA,TSX,QUADRA MINING LTD
RBI,TSX,RED BACK MINING INC
RMX,TSX,RUBICON MINERALS CORP
S,TSX,SHERRITT INTERNATIONAL CORP
SLW,TSX,SILVER WHEATON CORP
SMF,TSX,SEMAFO INC
SSO,TSX,SILVER STANDARD RESOURCES
SVM,TSX,SILVERCORP METALS INC
TCK.B,TSX,TECK RESOURCES LTD-CL B
TCM,TSX,THOMPSON CREEK METALS COMPANY
TKO,TSX,TASEKO MINES LTD
TRE,TSX,SINO-FOREST CORPORATION-CL A
WFT,TSX,WEST FRASER TIMBER CO LTD
WTN,TSX,Western Coal Corp
YRI,TSX,YAMANA GOLD INC
