XDV.TO,TSX,XDV
AGF.B.TO,TSX,AGF MANAGEMENT LTD-CL B
BMO.TO,TSX,BANK OF MONTREAL
BNS.TO,TSX,BANK OF NOVA SCOTIA
CJR.B.TO,TSX,CORUS ENTERTAINMENT INC-B SH
CM.TO,TSX,CAN IMPERIAL BK OF COMMERCE
CU.TO,TSX,CANADIAN UTILITIES LTD A
EMA.TO,TSX,EMERA INC
ENB.TO,TSX,ENBRIDGE INC
FTS.TO,TSX,FORTIS INC
FTT.TO,TSX,FINNING INTERNATIONAL INC
GWO.TO,TSX,GREAT-WEST LIFECO INC
IAG.TO,TSX,INDUSTRIAL ALLIANCE INSURANC
IGM.TO,TSX,IGM FINANCIAL INC
LB.TO,TSX,LAURENTIAN BANK OF CANADA
MBT.TO,TSX,MANITOBA TELECOM SVCS INC
NA.TO,TSX,NATIONAL BANK OF CANADA
POW.TO,TSX,POWER CORP OF CANADA
PWF.TO,TSX,POWER FINANCIAL CORP
RCI.B.TO,TSX,ROGERS COMMUNICATIONS -CL B
RET.A.TO,TSX,REITMANS (CANADA) LTD -CL A
RUS.TO,TSX,RUSSEL METALS INC
RY.TO,TSX,ROYAL BANK OF CANADA
SJR.B.TO,TSX,SHAW COMMUNICATIONS INC-B
SLF.TO,TSX,SUN LIFE FINANCIAL INC
T.TO,TSX,TELUS CORP
TA.TO,TSX,TRANSALTA CORP
TCL.A.TO,TSX,TRANSCONTINENTAL INC-CL A
TD.TO,TSX,TORONTO-DOMINION BANK
TRP.TO,TSX,TRANSCANADA CORP
X.TO,TSX,TMX GROUP INC
