XEN.TO,TSX,XEN
AETu.TO,TSX,ARC ENERGY TRUSTuNITS
AGU.TO,TSX,AGRIUM INC
AQN.TO,TSX,ALGONQUIN POWER & UTILITIES CO
ATA.TO,TSX,ATS AUTOMATION TOOLING SYS
BAM.A.TO,TSX,BROOKFIELD ASSET MANAGE-CL A
BCE.TO,TSX,BCE INC
BLD.TO,TSX,BALLARD POWER SYSTEMS INC
BMO.TO,TSX,BANK OF MONTREAL
BNS.TO,TSX,BANK OF NOVA SCOTIA
BVF.TO,TSX,BIOVAIL CORPORATION
CAS.TO,TSX,CASCADES INC
CFP.TO,TSX,CANFOR CORPORATION
CM.TO,TSX,CAN IMPERIAL BK OF COMMERCE
CNR.TO,TSX,CANADIAN NATL RAILWAY CO
COSu.TO,TSX,CANADIAN OIL SANDS TRUST
CP.TO,TSX,CANADIAN PACIFIC RAILWAY LTD
CTC.A.TO,TSX,CANADIAN TIRE CORP -CL A
CTL.TO,TSX,CATALYST PAPER CORP
ECA.TO,TSX,ENCANA CORP
ENB.TO,TSX,ENBRIDGE INC
ESI.TO,TSX,ENSIGN ENERGY SERVICES INC
FNX.TO,TSX,FNX MINING CO INC
GND.TO,TSX,GENNUM CORP
HW.TO,TSX,HARRY WINSTON DIAMOND CORP
IGM.TO,TSX,IGM FINANCIAL INC
IMN.TO,TSX,INMET MINING CORPORATION
K.TO,TSX,KINROSS GOLD CORP
L.TO,TSX,LOBLAW COMPANIES LTD
LUN.TO,TSX,LUNDIN MINING CORP
MBT.TO,TSX,MANITOBA TELECOM SVCS INC
MDS.TO,TSX,MDS INC
MX.TO,TSX,METHANEX CORP
NA.TO,TSX,NATIONAL BANK OF CANADA
NXY.TO,TSX,NEXEN INC
PDu.TO,TSX,PRECISION DRILLING TRUST UNIT
PIFu.TO,TSX,PEMBINA PIPELINE INC-TR UTS
PJC.A.TO,TSX,JEAN COUTU GROUP INC A
POT.TO,TSX,POTASH CORP OF SASKATCHEWAN
PWTu.TO,TSX,PENN WEST ENERGY TRUST
QLT.TO,TSX,QLT INC
RCI.B.TO,TSX,ROGERS COMMUNICATIONS -CL B
RIM.TO,TSX,RESEARCH IN MOTION
RY.TO,TSX,ROYAL BANK OF CANADA
SC.TO,TSX,SHOPPERS DRUG MART CORP
SJR.B.TO,TSX,SHAW COMMUNICATIONS INC-B
SLF.TO,TSX,SUN LIFE FINANCIAL INC
STN.TO,TSX,STANTEC INC
SU.TO,TSX,SUNCOR ENERGY INC
T.TO,TSX,TELUS CORP
TA.TO,TSX,TRANSALTA CORP
TCK.B.TO,TSX,TECK RESOURCES LTD-CL B
TCL.A.TO,TSX,TRANSCONTINENTAL INC-CL A
TD.TO,TSX,TORONTO-DOMINION BANK
TIH.TO,TSX,TOROMONT INDUSTRIES LTD
TLM.TO,TSX,TALISMAN ENERGY INC
TMB.TO,TSX,TEMBEC INC
TRI.TO,TSX,THOMSON REUTERS CORP
WPT.TO,TSX,WESTPORT INNOVATIONS INC
YRI.TO,TSX,YAMANA GOLD INC
ZL.TO,TSX,ZARLINK SEMICONDUCTOR INC
